Dataset name,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,Execution time
ogbg-code2,452741,83998,True,62,61,1.967741935483871,0.0,0.016129032258064516,62,1,0,0,0,0,0.0026242733001708984
ogbg-code2,452741,431927,True,24,23,1.9166666666666667,0.0,0.041666666666666664,24,1,0,0,0,0,0.0010061264038085938
ogbg-code2,452741,200926,True,39,38,1.9487179487179487,0.0,0.02564102564102564,39,1,0,0,0,0,0.001505136489868164
ogbg-code2,452741,312078,True,42,41,1.9523809523809523,0.0,0.023809523809523808,42,1,0,0,0,0,0.001505136489868164
ogbg-code2,452741,202207,True,41,40,1.951219512195122,0.0,0.024390243902439025,41,1,0,0,0,0,0.0007436275482177734
ogbg-code2,452741,203171,True,107,106,1.9813084112149533,0.0,0.009345794392523364,107,1,0,0,0,0,0.0019421577453613281
ogbg-code2,452741,20621,True,33,32,1.9393939393939394,0.0,0.030303030303030304,33,1,0,0,0,0,0.0006098747253417969
ogbg-code2,452741,160979,True,91,90,1.978021978021978,0.0,0.01098901098901099,91,1,0,0,0,0,0.0015819072723388672
ogbg-code2,452741,369533,True,99,98,1.97979797979798,0.0,0.010101010101010102,99,1,0,0,0,0,0.0017230510711669922
ogbg-code2,452741,33465,True,39,38,1.9487179487179487,0.0,0.02564102564102564,39,1,0,0,0,0,0.0007140636444091797
ogbg-code2,452741,442989,True,67,66,1.9701492537313432,0.0,0.014925373134328358,67,1,0,0,0,0,0.0011813640594482422
ogbg-code2,452741,443760,True,25,24,1.92,0.0,0.04,25,1,0,0,0,0,0.00048279762268066406
ogbg-code2,452741,141218,True,173,172,1.9884393063583814,0.0,0.005780346820809248,173,1,0,0,0,0,0.0030040740966796875
ogbg-code2,452741,363386,True,113,112,1.9823008849557522,0.0,0.008849557522123894,113,1,0,0,0,0,0.00196075439453125
ogbg-code2,452741,103958,True,119,118,1.9831932773109244,0.0,0.008403361344537815,119,1,0,0,0,0,0.0020689964294433594
ogbg-code2,452741,89283,True,112,111,1.9821428571428572,0.0,0.008928571428571428,112,1,0,0,0,0,0.0019152164459228516
ogbg-code2,452741,204375,True,45,44,1.9555555555555555,0.0,0.022222222222222223,45,1,0,0,0,0,0.0008018016815185547
ogbg-code2,452741,20992,True,37,36,1.945945945945946,0.0,0.02702702702702703,37,1,0,0,0,0,0.0006670951843261719
ogbg-code2,452741,221835,True,24,23,1.9166666666666667,0.0,0.041666666666666664,24,1,0,0,0,0,0.0004525184631347656
ogbg-code2,452741,88413,True,122,121,1.9836065573770492,0.0,0.00819672131147541,122,1,0,0,0,0,0.0020825862884521484
ogbg-code2,452741,317834,True,35,34,1.9428571428571428,0.0,0.02857142857142857,35,1,0,0,0,0,0.0006272792816162109
ogbg-code2,452741,406169,True,221,220,1.990950226244344,0.0,0.004524886877828055,221,1,0,0,0,0,0.0037267208099365234
ogbg-code2,452741,11393,True,33,32,1.9393939393939394,0.0,0.030303030303030304,33,1,0,0,0,0,0.000606536865234375
ogbg-code2,452741,366737,True,42,41,1.9523809523809523,0.0,0.023809523809523808,42,1,0,0,0,0,0.0007424354553222656
ogbg-code2,452741,248276,True,127,126,1.984251968503937,0.0,0.007874015748031496,127,1,0,0,0,0,0.002177715301513672
ogbg-code2,452741,444923,True,357,356,1.9943977591036415,0.0,0.0028011204481792717,357,1,0,0,0,0,0.006108522415161133
ogbg-code2,452741,382564,True,29,28,1.9310344827586208,0.0,0.034482758620689655,29,1,0,0,0,0,0.0005488395690917969
ogbg-code2,452741,263357,True,56,55,1.9642857142857142,0.0,0.017857142857142856,56,1,0,0,0,0,0.000985860824584961
ogbg-code2,452741,425785,True,24,23,1.9166666666666667,0.0,0.041666666666666664,24,1,0,0,0,0,0.00046181678771972656
ogbg-code2,452741,248021,True,38,37,1.9473684210526316,0.0,0.02631578947368421,38,1,0,0,0,0,0.0007023811340332031
ogbg-code2,452741,106033,True,37,36,1.945945945945946,0.0,0.02702702702702703,37,1,0,0,0,0,0.0006668567657470703
ogbg-code2,452741,224077,True,2097,2096,1.9990462565569862,0.0,0.0004768717215069146,2097,1,0,0,0,0,0.035573720932006836
ogbg-code2,452741,282299,True,103,102,1.9805825242718447,0.0,0.009708737864077669,103,1,0,0,0,0,0.0017843246459960938
ogbg-code2,452741,351100,True,132,131,1.9848484848484849,0.0,0.007575757575757576,132,1,0,0,0,0,0.002278566360473633
ogbg-code2,452741,150783,True,80,79,1.975,0.0,0.0125,80,1,0,0,0,0,0.0014019012451171875
ogbg-code2,452741,93048,True,81,80,1.9753086419753085,0.0,0.012345679012345678,81,1,0,0,0,0,0.0014221668243408203
ogbg-code2,452741,118858,True,152,151,1.986842105263158,0.0,0.006578947368421052,152,1,0,0,0,0,0.0025844573974609375
ogbg-code2,452741,358795,True,69,68,1.9710144927536233,0.0,0.014492753623188406,69,1,0,0,0,0,0.0012278556823730469
ogbg-code2,452741,347020,True,47,46,1.9574468085106382,0.0,0.02127659574468085,47,1,0,0,0,0,0.0008511543273925781
ogbg-code2,452741,377713,True,83,82,1.9759036144578312,0.0,0.012048192771084338,83,1,0,0,0,0,0.0014529228210449219
ogbg-code2,452741,31350,True,236,235,1.9915254237288136,0.0,0.00423728813559322,236,1,0,0,0,0,0.003941535949707031
ogbg-code2,452741,98552,True,41,40,1.951219512195122,0.0,0.024390243902439025,41,1,0,0,0,0,0.0007359981536865234
ogbg-code2,452741,234065,True,183,182,1.989071038251366,0.0,0.00546448087431694,183,1,0,0,0,0,0.0030782222747802734
ogbg-code2,452741,107649,True,58,57,1.9655172413793103,0.0,0.017241379310344827,58,1,0,0,0,0,0.0010111331939697266
ogbg-code2,452741,325575,True,38,37,1.9473684210526316,0.0,0.02631578947368421,38,1,0,0,0,0,0.0006906986236572266
ogbg-code2,452741,89828,True,27,26,1.9259259259259258,0.0,0.037037037037037035,27,1,0,0,0,0,0.0005145072937011719
ogbg-code2,452741,246793,True,46,45,1.9565217391304348,0.0,0.021739130434782608,46,1,0,0,0,0,0.0008177757263183594
ogbg-code2,452741,34033,True,107,106,1.9813084112149533,0.0,0.009345794392523364,107,1,0,0,0,0,0.001886606216430664
ogbg-code2,452741,290513,True,198,197,1.9898989898989898,0.0,0.005050505050505051,198,1,0,0,0,0,0.0033140182495117188
ogbg-code2,452741,134737,True,77,76,1.974025974025974,0.0,0.012987012987012988,77,1,0,0,0,0,0.001341104507446289
