Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-molbace,no-split,1513,0,False,32,35,2.1875,0.0,0.07056451612903226,1,32,35,6.518145161290323,16,8,1,1,4,0.626938775510204,0.8857142857142857,0.024997949600219727,ordered graphs since 0
ogbg-molbace,no-split,1513,1,False,47,50,2.127659574468085,0.0,0.04625346901017576,1,47,50,7.547641073080481,17,9,1,1,7,0.7162000000000001,0.88,0.03346872329711914,ordered graphs since 0
ogbg-molbace,no-split,1513,2,False,42,46,2.1904761904761907,0.0,0.053426248548199766,1,42,46,7.403019744483159,17,9,1,1,6,0.6703686200378073,0.8478260869565217,0.028187274932861328,ordered graphs since 0
ogbg-molbace,no-split,1513,3,False,40,42,2.1,0.0,0.05384615384615385,1,40,42,7.503846153846154,19,10,1,1,6,0.6805555555555556,0.8809523809523809,0.025441408157348633,ordered graphs since 0
ogbg-molbace,no-split,1513,4,False,44,48,2.1818181818181817,0.0,0.0507399577167019,1,44,48,7.716701902748414,17,9,1,1,6,0.674045138888889,0.8541666666666666,0.030234575271606445,ordered graphs since 0
ogbg-molbace,no-split,1513,5,False,39,41,2.1025641025641026,0.0,0.0553306342780027,1,39,41,7.376518218623482,17,9,1,1,6,0.6814396192742416,0.8780487804878049,0.023891925811767578,ordered graphs since 0
ogbg-molbace,no-split,1513,6,False,45,47,2.088888888888889,0.0,0.047474747474747475,1,45,47,7.927272727272728,19,10,1,1,6,0.7181982797645993,0.8936170212765957,0.03118729591369629,ordered graphs since 0
ogbg-molbace,no-split,1513,7,False,36,40,2.2222222222222223,0.0,0.06349206349206349,1,36,40,5.7555555555555555,14,7,1,1,5,0.6384375,0.85,0.021457910537719727,ordered graphs since 0
ogbg-molbace,no-split,1513,8,False,41,46,2.2439024390243905,0.0,0.05609756097560976,1,41,46,6.95609756097561,16,8,1,1,6,0.6599716446124764,0.8478260869565217,0.0278475284576416,ordered graphs since 0
ogbg-molbace,no-split,1513,9,False,41,44,2.1463414634146343,0.0,0.05365853658536585,1,41,44,7.7682926829268295,19,10,1,1,6,0.7029958677685949,0.8863636363636364,0.027495145797729492,ordered graphs since 0
ogbg-molbace,no-split,1513,10,False,43,46,2.13953488372093,0.0,0.05094130675526024,1,43,46,7.675526024363234,19,10,1,1,6,0.720226843100189,0.8913043478260869,0.029573440551757812,ordered graphs since 0
ogbg-molbace,no-split,1513,11,False,45,48,2.1333333333333333,0.0,0.048484848484848485,1,45,48,7.680808080808081,19,10,1,1,6,0.7261284722222222,0.8958333333333334,0.03194856643676758,ordered graphs since 0
ogbg-molbace,no-split,1513,12,False,43,46,2.13953488372093,0.0,0.05094130675526024,1,43,46,7.82281284606866,18,9,1,1,6,0.7065217391304348,0.8913043478260869,0.029512882232666016,ordered graphs since 0
ogbg-molbace,no-split,1513,13,False,46,49,2.130434782608696,0.0,0.04734299516908213,1,46,49,8.053140096618357,20,10,1,1,7,0.7147022074135776,0.8775510204081632,0.03295087814331055,ordered graphs since 0
ogbg-molbace,no-split,1513,14,False,38,40,2.1052631578947367,0.0,0.05689900426742532,1,38,40,7.351351351351352,18,9,1,1,5,0.6834375000000001,0.9,0.023157358169555664,ordered graphs since 0
ogbg-molbace,no-split,1513,15,False,42,44,2.0952380952380953,0.0,0.05110336817653891,1,42,44,7.794425087108014,19,10,1,1,6,0.6908574380165289,0.8863636363636364,0.028151512145996094,ordered graphs since 0
ogbg-molbace,no-split,1513,16,False,44,47,2.1363636363636362,0.0,0.049682875264270614,1,44,47,7.943974630021142,20,10,1,1,6,0.7229515617926664,0.8936170212765957,0.030359506607055664,ordered graphs since 0
ogbg-molbace,no-split,1513,17,False,41,43,2.097560975609756,0.0,0.0524390243902439,1,41,43,7.619512195121951,18,9,1,1,6,0.7030827474310438,0.8837209302325582,0.027169466018676758,ordered graphs since 0
ogbg-molbace,no-split,1513,18,False,44,47,2.1363636363636362,0.0,0.049682875264270614,1,44,47,7.659619450317125,19,10,1,1,6,0.7229515617926664,0.8936170212765957,0.030437707901000977,ordered graphs since 0
ogbg-molbace,no-split,1513,19,False,46,49,2.130434782608696,0.0,0.04734299516908213,1,46,49,7.761352657004831,19,10,1,1,6,0.7151187005414411,0.8979591836734694,0.03264784812927246,ordered graphs since 0
ogbg-molbace,no-split,1513,20,False,35,38,2.1714285714285713,0.0,0.06386554621848739,1,35,38,6.625210084033614,16,8,1,1,6,0.6388504155124654,0.8157894736842105,0.020923614501953125,ordered graphs since 0
ogbg-molbace,no-split,1513,21,False,47,50,2.127659574468085,0.0,0.04625346901017576,1,47,50,7.90009250693802,18,9,1,1,7,0.7122,0.88,0.03447294235229492,ordered graphs since 0
ogbg-molbace,no-split,1513,22,False,42,46,2.1904761904761907,0.0,0.053426248548199766,1,42,46,7.435540069686411,17,9,1,1,6,0.676984877126654,0.8478260869565217,0.027889251708984375,ordered graphs since 0
ogbg-molbace,no-split,1513,23,False,60,63,2.1,0.0,0.03559322033898305,1,60,63,9.940112994350283,25,13,1,1,8,0.7484252960443436,0.8888888888888888,0.05370140075683594,ordered graphs since 0
ogbg-molbace,no-split,1513,24,False,40,42,2.1,0.0,0.05384615384615385,1,40,42,7.111538461538461,17,9,1,1,5,0.7001133786848072,0.9047619047619048,0.02561020851135254,ordered graphs since 0
ogbg-molbace,no-split,1513,25,False,46,48,2.0869565217391304,0.0,0.0463768115942029,1,46,48,8.1768115942029,21,11,1,1,7,0.7211371527777777,0.875,0.03276872634887695,ordered graphs since 0
ogbg-molbace,no-split,1513,26,False,32,35,2.1875,0.0,0.07056451612903226,1,32,35,5.709677419354839,13,7,1,1,6,0.6061224489795919,0.8,0.01765298843383789,ordered graphs since 0
ogbg-molbace,no-split,1513,27,False,30,34,2.2666666666666666,0.0,0.07816091954022988,1,30,34,5.344827586206897,14,7,1,1,5,0.6198096885813149,0.8235294117647058,0.015502452850341797,ordered graphs since 0
ogbg-molbace,no-split,1513,28,False,48,52,2.1666666666666665,0.0,0.04609929078014184,1,48,52,7.513297872340425,16,8,1,1,6,0.718380177514793,0.9038461538461539,0.035028696060180664,ordered graphs since 0
ogbg-molbace,no-split,1513,29,False,32,34,2.125,0.0,0.06854838709677419,1,32,34,6.298387096774194,15,8,1,1,6,0.6401384083044983,0.8235294117647058,0.01730942726135254,ordered graphs since 0
ogbg-molbace,no-split,1513,30,False,47,47,2.0,0.0,0.043478260869565216,1,47,47,8.22664199814986,21,11,1,1,6,0.7231779085559077,0.8936170212765957,0.033202409744262695,ordered graphs since 0
ogbg-molbace,no-split,1513,31,False,34,36,2.1176470588235294,0.04901960784313725,0.06417112299465241,1,34,36,6.422459893048129,15,8,1,1,6,0.6624228395061728,0.8611111111111112,0.01902627944946289,ordered graphs since 0
ogbg-molbace,no-split,1513,32,False,44,46,2.090909090909091,0.0,0.048625792811839326,1,44,46,7.867864693446089,19,10,1,1,7,0.6923440453686199,0.8695652173913043,0.030379533767700195,ordered graphs since 0
ogbg-molbace,no-split,1513,33,False,33,36,2.1818181818181817,0.0,0.06818181818181818,1,33,36,6.613636363636363,17,9,1,1,5,0.6323302469135802,0.8611111111111112,0.01843881607055664,ordered graphs since 0
