Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-molclintox,no-split,1477,0,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,2.6363636363636362,5,4,1,1,3,0.4166666666666667,0.75,0.007939338684082031,ordered graphs since 0
ogbg-molclintox,no-split,1477,1,False,14,13,1.8571428571428572,0.0,0.14285714285714285,1,14,13,3.3956043956043955,7,4,1,1,4,0.5059171597633136,0.7692307692307693,0.004740715026855469,ordered graphs since 0
ogbg-molclintox,no-split,1477,2,False,22,23,2.090909090909091,0.0,0.09956709956709957,1,22,23,5.376623376623376,14,7,1,1,4,0.5604914933837429,0.8695652173913043,0.009064674377441406,ordered graphs since 0
ogbg-molclintox,no-split,1477,3,False,27,28,2.074074074074074,0.0,0.07977207977207977,1,27,28,7.532763532763533,20,10,1,1,5,0.6358418367346939,0.8571428571428571,0.012785196304321289,ordered graphs since 0
ogbg-molclintox,no-split,1477,4,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0008296966552734375,ordered graphs since 0
ogbg-molclintox,no-split,1477,5,False,2,1,1.0,0.0,1.0,1,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0004246234893798828,ordered graphs since 0
ogbg-molclintox,no-split,1477,6,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010251998901367188,ordered graphs since 0
ogbg-molclintox,no-split,1477,7,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010242462158203125,ordered graphs since 0
ogbg-molclintox,no-split,1477,8,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010540485382080078,ordered graphs since 0
ogbg-molclintox,no-split,1477,9,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010242462158203125,ordered graphs since 0
