Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-molesol,no-split,1128,0,False,32,34,2.125,0.0,0.06854838709677419,1,32,34,6.209677419354839,15,8,1,1,6,0.6202422145328721,0.7941176470588235,0.02193284034729004,ordered graphs since 0
ogbg-molesol,no-split,1128,1,False,15,16,2.1333333333333333,0.0,0.1523809523809524,1,15,16,3.657142857142857,8,4,1,1,3,0.470703125,0.8125,0.00457453727722168,ordered graphs since 0
ogbg-molesol,no-split,1128,2,False,11,10,1.8181818181818181,0.0,0.18181818181818182,1,11,10,3.5272727272727273,8,4,1,1,4,0.445,0.7,0.002930879592895508,ordered graphs since 0
ogbg-molesol,no-split,1128,3,False,22,26,2.3636363636363638,0.0,0.11255411255411256,1,22,26,4.1688311688311686,11,6,2,2,5,0.4829881656804735,0.6923076923076923,0.010197639465332031,ordered graphs since 0
ogbg-molesol,no-split,1128,4,False,5,5,2.0,0.0,0.5,1,5,5,1.5,2,2,2,2,2,0.08000000000000004,0.6,0.0011081695556640625,ordered graphs since 0
ogbg-molesol,no-split,1128,5,False,9,10,2.2222222222222223,0.0,0.2777777777777778,1,9,10,2.1944444444444446,4,3,2,2,4,0.24500000000000002,0.5,0.0024251937866210938,ordered graphs since 0
ogbg-molesol,no-split,1128,6,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,3.4558823529411766,8,4,1,1,4,0.4629629629629629,0.7222222222222222,0.005702972412109375,ordered graphs since 0
ogbg-molesol,no-split,1128,7,False,20,23,2.3,0.0,0.12105263157894737,1,20,23,3.8105263157894735,10,5,1,1,4,0.47542533081285443,0.7391304347826086,0.007476329803466797,ordered graphs since 0
ogbg-molesol,no-split,1128,8,False,19,23,2.4210526315789473,0.08771929824561403,0.13450292397660818,1,19,23,3.0409356725146197,6,4,1,1,4,0.4792060491493384,0.7391304347826086,0.0067064762115478516,ordered graphs since 0
ogbg-molesol,no-split,1128,9,False,29,33,2.2758620689655173,0.0,0.0812807881773399,1,29,33,5.20935960591133,14,7,1,1,5,0.5619834710743803,0.7878787878787878,0.014323949813842773,ordered graphs since 0
ogbg-molesol,no-split,1128,10,False,6,6,2.0,0.0,0.4,1,6,6,1.7333333333333334,3,2,1,1,3,0.16666666666666666,0.5,0.0013403892517089844,ordered graphs since 0
ogbg-molesol,no-split,1128,11,False,11,12,2.1818181818181817,0.0,0.21818181818181817,1,11,12,2.618181818181818,6,3,1,1,3,0.3298611111111111,0.6666666666666666,0.0030999183654785156,ordered graphs since 0
ogbg-molesol,no-split,1128,12,False,5,4,1.6,0.0,0.4,1,5,4,2.0,4,2,1,1,2,0.21875,0.75,0.0010762214660644531,ordered graphs since 0
ogbg-molesol,no-split,1128,13,False,16,17,2.125,0.0,0.14166666666666666,1,16,17,3.2083333333333335,7,4,1,1,4,0.48961937716262977,0.7647058823529411,0.005194187164306641,ordered graphs since 0
ogbg-molesol,no-split,1128,14,False,14,13,1.8571428571428572,0.0,0.14285714285714285,1,14,13,5.0,13,7,1,1,4,0.5059171597633138,0.7692307692307693,0.00439453125,ordered graphs since 0
ogbg-molesol,no-split,1128,15,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0008018016815185547,ordered graphs since 0
ogbg-molesol,no-split,1128,16,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,2.066666666666667,4,2,1,1,3,0.26,0.6,0.0012950897216796875,ordered graphs since 0
ogbg-molesol,no-split,1128,17,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2857142857142856,5,3,1,1,3,0.25,0.625,0.0019190311431884766,ordered graphs since 0
ogbg-molesol,no-split,1128,18,False,19,19,2.0,0.0,0.1111111111111111,1,19,19,4.2105263157894735,9,5,1,1,5,0.5221606648199446,0.7368421052631579,0.006905555725097656,ordered graphs since 0
ogbg-molesol,no-split,1128,19,False,12,11,1.8333333333333333,0.0,0.16666666666666666,1,12,11,4.196969696969697,10,5,1,1,4,0.4669421487603306,0.7272727272727273,0.0036096572875976562,ordered graphs since 0
ogbg-molesol,no-split,1128,20,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,3.5294117647058822,8,4,1,1,4,0.4691358024691358,0.7222222222222222,0.006103038787841797,ordered graphs since 0
ogbg-molesol,no-split,1128,21,False,17,19,2.235294117647059,0.0,0.13970588235294118,1,17,19,3.485294117647059,8,4,1,1,3,0.5055401662049861,0.8421052631578947,0.006026506423950195,ordered graphs since 0
ogbg-molesol,no-split,1128,22,False,13,12,1.8461538461538463,0.0,0.15384615384615385,1,13,12,3.58974358974359,8,4,1,1,4,0.47916666666666663,0.75,0.003932476043701172,ordered graphs since 0
ogbg-molesol,no-split,1128,23,False,13,13,2.0,0.0,0.16666666666666666,1,13,13,3.58974358974359,9,5,1,1,4,0.41715976331360954,0.6923076923076923,0.004059791564941406,ordered graphs since 0
ogbg-molesol,no-split,1128,24,False,22,22,2.0,0.0,0.09523809523809523,1,22,22,3.9567099567099566,8,4,1,1,5,0.5661157024793388,0.7727272727272727,0.00873112678527832,ordered graphs since 0
ogbg-molesol,no-split,1128,25,False,8,7,1.75,0.0,0.25,1,8,7,3.0,7,4,1,1,2,0.35714285714285715,0.8571428571428571,0.0020322799682617188,ordered graphs since 0
ogbg-molesol,no-split,1128,26,False,13,14,2.1538461538461537,0.0,0.1794871794871795,1,13,14,2.7051282051282053,5,4,1,1,4,0.40816326530612246,0.7142857142857143,0.003968477249145508,ordered graphs since 0
ogbg-molesol,no-split,1128,27,False,15,15,2.0,0.0,0.14285714285714285,1,15,15,3.295238095238095,8,4,1,1,4,0.47333333333333333,0.7333333333333333,0.005061626434326172,ordered graphs since 0
ogbg-molesol,no-split,1128,28,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,3.9411764705882355,10,5,1,1,4,0.502770083102493,0.7894736842105263,0.006634235382080078,ordered graphs since 0
ogbg-molesol,no-split,1128,29,False,11,10,1.8181818181818181,0.0,0.18181818181818182,1,11,10,3.7454545454545456,9,5,1,1,3,0.435,0.8,0.003202676773071289,ordered graphs since 0
ogbg-molesol,no-split,1128,30,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.7777777777777777,7,4,1,1,4,0.34,0.6,0.0027620792388916016,ordered graphs since 0
ogbg-molesol,no-split,1128,31,False,15,14,1.8666666666666667,0.0,0.13333333333333333,1,15,14,3.9238095238095236,8,4,1,1,4,0.5178571428571428,0.7857142857142857,0.00463557243347168,ordered graphs since 0
ogbg-molesol,no-split,1128,32,False,22,23,2.090909090909091,0.0,0.09956709956709957,1,22,23,5.285714285714286,13,7,1,1,4,0.5718336483931947,0.8695652173913043,0.008877277374267578,ordered graphs since 0
ogbg-molesol,no-split,1128,33,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0008237361907958984,ordered graphs since 0
ogbg-molesol,no-split,1128,34,False,14,16,2.2857142857142856,0.0,0.17582417582417584,1,14,16,2.934065934065934,6,4,1,1,3,0.3984375,0.75,0.004293680191040039,ordered graphs since 0
ogbg-molesol,no-split,1128,35,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,2.3333333333333335,5,3,1,1,3,0.26,0.6,0.0013184547424316406,ordered graphs since 0
ogbg-molesol,no-split,1128,36,False,13,14,2.1538461538461537,0.0,0.1794871794871795,1,13,14,3.3846153846153846,8,4,1,1,2,0.42602040816326536,0.9285714285714286,0.003790140151977539,ordered graphs since 0
ogbg-molesol,no-split,1128,37,False,17,17,2.0,0.0,0.125,1,17,17,5.088235294117647,12,6,1,1,4,0.5449826989619377,0.8235294117647058,0.005905628204345703,ordered graphs since 0
ogbg-molesol,no-split,1128,38,False,21,21,2.0,0.0,0.1,1,21,21,4.866666666666666,11,6,1,1,5,0.5555555555555555,0.7619047619047619,0.008062601089477539,ordered graphs since 0
ogbg-molesol,no-split,1128,39,False,8,7,1.75,0.0,0.25,1,8,7,3.0,7,4,1,1,2,0.35714285714285715,0.8571428571428571,0.0019071102142333984,ordered graphs since 0
ogbg-molesol,no-split,1128,40,False,13,14,2.1538461538461537,0.0,0.1794871794871795,1,13,14,3.1538461538461537,7,4,1,1,2,0.42602040816326536,0.9285714285714286,0.0038535594940185547,ordered graphs since 0
ogbg-molesol,no-split,1128,41,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,2.3333333333333335,5,3,1,1,3,0.26,0.6,0.0013115406036376953,ordered graphs since 0
ogbg-molesol,no-split,1128,42,False,12,13,2.1666666666666665,0.0,0.19696969696969696,1,12,13,2.6515151515151514,6,3,1,1,3,0.4201183431952663,0.7692307692307693,0.003479480743408203,ordered graphs since 0
ogbg-molesol,no-split,1128,43,False,11,11,2.0,0.0,0.2,1,11,11,2.727272727272727,6,3,1,1,4,0.37603305785123975,0.6363636363636364,0.0029382705688476562,ordered graphs since 0
ogbg-molesol,no-split,1128,44,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,2.1333333333333333,4,2,1,1,2,0.30000000000000004,0.8,0.0012969970703125,ordered graphs since 0
ogbg-molesol,no-split,1128,45,False,8,7,1.75,0.0,0.25,1,8,7,2.8214285714285716,6,3,1,1,3,0.35714285714285715,0.7142857142857143,0.0019423961639404297,ordered graphs since 0
ogbg-molesol,no-split,1128,46,False,11,11,2.0,0.0,0.2,1,11,11,3.018181818181818,7,4,1,1,3,0.37603305785123964,0.7272727272727273,0.0029833316802978516,ordered graphs since 0
ogbg-molesol,no-split,1128,47,False,15,16,2.1333333333333333,0.0,0.1523809523809524,1,15,16,3.3523809523809525,8,4,1,1,3,0.466796875,0.8125,0.004817962646484375,ordered graphs since 0
ogbg-molesol,no-split,1128,48,False,25,26,2.08,0.0,0.08666666666666667,1,25,26,4.266666666666667,8,4,1,1,5,0.5894970414201184,0.8076923076923077,0.010243892669677734,ordered graphs since 0
