Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-molfreesolv,no-split,642,0,False,13,13,2.0,0.0,0.16666666666666666,1,13,13,3.3333333333333335,8,4,1,1,4,0.4112426035502959,0.6923076923076923,0.0043947696685791016,ordered graphs since 0
ogbg-molfreesolv,no-split,642,1,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0011069774627685547,ordered graphs since 0
ogbg-molfreesolv,no-split,642,2,False,5,4,1.6,0.0,0.4,1,5,4,1.8,3,2,1,1,2,0.21875,0.75,0.0011339187622070312,ordered graphs since 0
ogbg-molfreesolv,no-split,642,3,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2857142857142856,5,3,1,1,3,0.25,0.625,0.0020704269409179688,ordered graphs since 0
ogbg-molfreesolv,no-split,642,4,False,8,7,1.75,0.0,0.25,1,8,7,3.0,7,4,1,1,2,0.35714285714285715,0.8571428571428571,0.0020585060119628906,ordered graphs since 0
ogbg-molfreesolv,no-split,642,5,False,9,9,2.0,0.0,0.25,1,9,9,2.3333333333333335,4,3,1,1,3,0.30864197530864196,0.6666666666666666,0.002396106719970703,ordered graphs since 0
ogbg-molfreesolv,no-split,642,6,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,1.9333333333333333,3,2,1,1,2,0.30000000000000004,0.8,0.0013575553894042969,ordered graphs since 0
ogbg-molfreesolv,no-split,642,7,False,7,6,1.7142857142857142,0.0,0.2857142857142857,1,7,6,2.1904761904761907,4,2,1,1,2,0.3194444444444445,0.8333333333333334,0.0017292499542236328,ordered graphs since 0
ogbg-molfreesolv,no-split,642,8,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.142857142857143,4,3,1,1,4,0.25,0.5,0.0020089149475097656,ordered graphs since 0
ogbg-molfreesolv,no-split,642,9,False,5,4,1.6,0.0,0.4,1,5,4,1.8,3,2,1,1,2,0.21875,0.75,0.0011069774627685547,ordered graphs since 0
ogbg-molfreesolv,no-split,642,10,False,3,2,1.3333333333333333,0.0,0.6666666666666666,1,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.0006661415100097656,ordered graphs since 0
ogbg-molfreesolv,no-split,642,11,False,7,6,1.7142857142857142,0.0,0.2857142857142857,1,7,6,2.1904761904761907,4,2,1,1,3,0.3194444444444444,0.6666666666666666,0.0016596317291259766,ordered graphs since 0
ogbg-molfreesolv,no-split,642,12,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2857142857142856,5,3,1,1,3,0.25,0.625,0.0020666122436523438,ordered graphs since 0
ogbg-molfreesolv,no-split,642,13,False,9,8,1.7777777777777777,0.0,0.2222222222222222,1,9,8,3.0,7,4,1,1,3,0.3984375,0.75,0.002367258071899414,ordered graphs since 0
ogbg-molfreesolv,no-split,642,14,False,7,7,2.0,0.0,0.3333333333333333,1,7,7,2.0,4,3,1,1,3,0.22448979591836737,0.5714285714285714,0.0017406940460205078,ordered graphs since 0
ogbg-molfreesolv,no-split,642,15,False,11,10,1.8181818181818181,0.0,0.18181818181818182,1,11,10,3.5272727272727273,8,4,1,1,4,0.445,0.7,0.003163576126098633,ordered graphs since 0
ogbg-molfreesolv,no-split,642,16,False,9,10,2.2222222222222223,0.0,0.2777777777777778,1,9,10,2.1944444444444446,4,3,2,2,4,0.24500000000000002,0.5,0.002597808837890625,ordered graphs since 0
ogbg-molfreesolv,no-split,642,17,False,9,9,2.0,0.0,0.25,1,9,9,2.611111111111111,6,3,1,1,3,0.31481481481481477,0.6666666666666666,0.002419710159301758,ordered graphs since 0
ogbg-molfreesolv,no-split,642,18,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2142857142857144,5,3,1,1,4,0.25,0.5,0.002007007598876953,ordered graphs since 0
ogbg-molfreesolv,no-split,642,19,False,7,6,1.7142857142857142,0.0,0.2857142857142857,1,7,6,2.1904761904761907,4,2,1,1,2,0.3194444444444445,0.8333333333333334,0.0016977787017822266,ordered graphs since 0
ogbg-molfreesolv,no-split,642,20,False,10,9,1.8,0.0,0.2,1,10,9,3.3555555555555556,7,4,1,1,3,0.4259259259259259,0.7777777777777778,0.002691030502319336,ordered graphs since 0
ogbg-molfreesolv,no-split,642,21,False,19,18,1.894736842105263,0.0,0.10526315789473684,1,19,18,4.631578947368421,10,5,1,1,5,0.5570987654320987,0.7777777777777778,0.007136821746826172,ordered graphs since 0
ogbg-molfreesolv,no-split,642,22,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.1785714285714284,4,3,1,1,4,0.25,0.5,0.001956462860107422,ordered graphs since 0
ogbg-molfreesolv,no-split,642,23,False,7,7,2.0,0.3333333333333333,0.3333333333333333,1,7,7,2.142857142857143,4,2,1,1,2,0.35714285714285715,0.8571428571428571,0.001674652099609375,ordered graphs since 0
ogbg-molfreesolv,no-split,642,24,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2857142857142856,5,3,1,1,3,0.25,0.625,0.002034902572631836,ordered graphs since 0
ogbg-molfreesolv,no-split,642,25,False,6,5,1.6666666666666667,0.0,0.3333333333333333,1,6,5,2.3333333333333335,5,3,1,1,3,0.26,0.6,0.0014019012451171875,ordered graphs since 0
ogbg-molfreesolv,no-split,642,26,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010731220245361328,ordered graphs since 0
ogbg-molfreesolv,no-split,642,27,False,8,7,1.75,0.0,0.25,1,8,7,2.3214285714285716,4,2,1,1,3,0.37755102040816324,0.7142857142857143,0.0019347667694091797,ordered graphs since 0
ogbg-molfreesolv,no-split,642,28,False,4,3,1.5,0.0,0.5,1,4,3,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,0.0008721351623535156,ordered graphs since 0
ogbg-molfreesolv,no-split,642,29,False,5,4,1.6,0.0,0.4,1,5,4,1.8,3,2,1,1,2,0.21875,0.75,0.0011010169982910156,ordered graphs since 0
ogbg-molfreesolv,no-split,642,30,False,8,8,2.0,0.0,0.2857142857142857,1,8,8,2.2142857142857144,5,3,1,1,4,0.25,0.5,0.0020024776458740234,ordered graphs since 0
ogbg-molfreesolv,no-split,642,31,False,5,4,1.6,0.0,0.4,1,5,4,2.0,4,2,1,1,2,0.21875,0.75,0.0011212825775146484,ordered graphs since 0
ogbg-molfreesolv,no-split,642,32,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,3.934640522875817,8,4,1,1,3,0.49999999999999994,0.8947368421052632,0.006593942642211914,ordered graphs since 0
ogbg-molfreesolv,no-split,642,33,False,11,11,2.0,0.0,0.2,1,11,11,2.8363636363636364,6,3,1,1,2,0.39256198347107435,0.9090909090909091,0.003137826919555664,ordered graphs since 0
ogbg-molfreesolv,no-split,642,34,False,5,4,1.6,0.0,0.4,1,5,4,2.0,4,2,1,1,2,0.21875,0.75,0.0011208057403564453,ordered graphs since 0
