Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-mollipo,no-split,4200,0,False,24,27,2.25,0.0,0.09782608695652174,1,24,27,5.431159420289855,14,7,1,1,4,0.5452674897119342,0.8148148148148148,0.016158580780029297,ordered graphs since 0
ogbg-mollipo,no-split,4200,1,False,33,35,2.121212121212121,0.0,0.06628787878787878,1,33,35,5.954545454545454,15,8,1,1,5,0.616326530612245,0.8571428571428571,0.017117023468017578,ordered graphs since 0
ogbg-mollipo,no-split,4200,2,False,21,23,2.1904761904761907,0.0,0.10952380952380952,1,21,23,4.128571428571429,9,5,1,1,3,0.5283553875236294,0.9130434782608695,0.007993698120117188,ordered graphs since 0
ogbg-mollipo,no-split,4200,3,False,28,31,2.2142857142857144,0.0,0.082010582010582,1,28,31,5.48941798941799,14,7,1,1,5,0.6077003121748178,0.8387096774193549,0.013497352600097656,ordered graphs since 0
ogbg-mollipo,no-split,4200,4,False,28,29,2.0714285714285716,0.0,0.07671957671957672,1,28,29,5.637566137566138,12,6,1,1,5,0.6409036860879906,0.8620689655172413,0.013025283813476562,ordered graphs since 0
ogbg-mollipo,no-split,4200,5,False,23,26,2.260869565217391,0.0,0.10276679841897234,1,23,26,5.2727272727272725,13,7,1,1,3,0.5776627218934911,0.9230769230769231,0.009773969650268555,ordered graphs since 0
ogbg-mollipo,no-split,4200,6,False,35,37,2.1142857142857143,0.0,0.06218487394957983,1,35,37,6.6722689075630255,17,9,1,1,5,0.670927684441198,0.8918918918918919,0.019598722457885742,ordered graphs since 0
ogbg-mollipo,no-split,4200,7,False,34,36,2.1176470588235294,0.0,0.06417112299465241,1,34,36,7.404634581105169,19,10,1,1,4,0.6454475308641976,0.9166666666666666,0.01945638656616211,ordered graphs since 0
ogbg-mollipo,no-split,4200,8,False,23,25,2.1739130434782608,0.0,0.09881422924901186,1,23,25,4.67193675889328,13,7,1,1,4,0.5144000000000001,0.8,0.009743213653564453,ordered graphs since 0
ogbg-mollipo,no-split,4200,9,False,15,17,2.2666666666666666,0.0,0.1619047619047619,1,15,17,3.1904761904761907,7,4,1,1,3,0.4204152249134948,0.7647058823529411,0.004829883575439453,ordered graphs since 0
