Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-moltox21,no-split,7831,0,False,16,17,2.125,0.0,0.14166666666666666,1,16,17,3.683333333333333,9,5,1,1,4,0.4844290657439446,0.7647058823529411,0.011826753616333008,ordered graphs since 0
ogbg-moltox21,no-split,7831,1,False,15,16,2.1333333333333333,0.0,0.1523809523809524,1,15,16,3.361904761904762,8,4,1,1,3,0.470703125,0.8125,0.00478053092956543,ordered graphs since 0
ogbg-moltox21,no-split,7831,2,False,21,24,2.2857142857142856,0.0,0.11428571428571428,1,21,24,3.8666666666666667,10,5,1,1,4,0.48958333333333337,0.75,0.008646249771118164,ordered graphs since 0
ogbg-moltox21,no-split,7831,3,False,20,20,2.0,0.0,0.10526315789473684,1,20,20,4.368421052631579,10,5,1,1,5,0.5387500000000001,0.75,0.0074443817138671875,ordered graphs since 0
ogbg-moltox21,no-split,7831,4,False,11,10,1.8181818181818181,0.0,0.18181818181818182,1,11,10,2.4727272727272727,4,2,1,1,3,0.46499999999999997,0.8,0.002669811248779297,ordered graphs since 0
ogbg-moltox21,no-split,7831,5,False,20,19,1.9,0.0,0.1,1,20,19,4.91578947368421,11,6,1,1,4,0.5858725761772853,0.8421052631578947,0.007322072982788086,ordered graphs since 0
ogbg-moltox21,no-split,7831,6,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.533333333333333,5,3,1,1,3,0.355,0.7,0.0025968551635742188,ordered graphs since 0
ogbg-moltox21,no-split,7831,7,False,21,22,2.0952380952380953,0.0,0.10476190476190476,1,21,22,4.704761904761905,12,6,1,1,4,0.5361570247933884,0.8181818181818182,0.008372306823730469,ordered graphs since 0
ogbg-moltox21,no-split,7831,8,False,10,9,1.8,0.0,0.2,1,10,9,2.7777777777777777,6,3,1,1,3,0.4259259259259259,0.7777777777777778,0.0025529861450195312,ordered graphs since 0
ogbg-moltox21,no-split,7831,9,False,21,18,1.7142857142857142,0.0,0.08571428571428572,3,10,9,3.511111111111111,8,4,1,1,3,0.43827160493827155,0.7777777777777778,0.002652883529663086,ordered graphs since 0
ogbg-moltox21,no-split,7831,10,False,44,48,2.1818181818181817,0.0,0.0507399577167019,1,44,48,8.61522198731501,22,11,1,1,5,0.6872829861111112,0.8958333333333334,0.02979588508605957,ordered graphs since 0
ogbg-moltox21,no-split,7831,11,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,3.713235294117647,9,5,1,1,4,0.470679012345679,0.7222222222222222,0.005944013595581055,ordered graphs since 0
ogbg-moltox21,no-split,7831,12,False,10,9,1.8,0.0,0.2,1,10,9,3.022222222222222,6,3,1,1,3,0.4259259259259259,0.7777777777777778,0.0025691986083984375,ordered graphs since 0
ogbg-moltox21,no-split,7831,13,False,14,13,1.8571428571428572,0.0,0.14285714285714285,1,14,13,4.164835164835165,9,5,1,1,4,0.5059171597633136,0.7692307692307693,0.004222869873046875,ordered graphs since 0
ogbg-moltox21,no-split,7831,14,False,14,16,2.2857142857142856,0.0,0.17582417582417584,1,14,16,3.0549450549450547,7,4,1,1,4,0.36328125,0.625,0.004410266876220703,ordered graphs since 0
ogbg-moltox21,no-split,7831,15,False,14,15,2.142857142857143,0.0,0.16483516483516483,1,14,15,3.208791208791209,7,4,1,1,4,0.4044444444444445,0.6666666666666666,0.004400730133056641,ordered graphs since 0
ogbg-moltox21,no-split,7831,16,False,16,15,1.875,0.0,0.125,1,16,15,5.466666666666667,14,7,1,1,4,0.548888888888889,0.8,0.0053882598876953125,ordered graphs since 0
ogbg-moltox21,no-split,7831,17,False,13,13,2.0,0.0,0.16666666666666666,1,13,13,3.230769230769231,7,4,1,1,3,0.45266272189349116,0.8461538461538461,0.003808736801147461,ordered graphs since 0
ogbg-moltox21,no-split,7831,18,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.577777777777778,5,3,1,1,3,0.36,0.7,0.002637147903442383,ordered graphs since 0
ogbg-moltox21,no-split,7831,19,False,11,11,2.0,0.0,0.2,1,11,11,2.981818181818182,7,4,1,1,2,0.39256198347107435,0.9090909090909091,0.003042936325073242,ordered graphs since 0
ogbg-moltox21,no-split,7831,20,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,3.5294117647058822,8,4,1,1,4,0.4737654320987654,0.7777777777777778,0.005878925323486328,ordered graphs since 0
ogbg-moltox21,no-split,7831,21,False,11,11,2.0,0.0,0.2,1,11,11,2.8363636363636364,6,3,1,1,2,0.39256198347107435,0.9090909090909091,0.0029783248901367188,ordered graphs since 0
ogbg-moltox21,no-split,7831,22,False,15,16,2.1333333333333333,0.0,0.1523809523809524,1,15,16,4.0,10,5,1,1,3,0.474609375,0.875,0.004912137985229492,ordered graphs since 0
ogbg-moltox21,no-split,7831,23,False,19,21,2.210526315789474,0.0,0.12280701754385964,1,19,21,3.9005847953216373,9,5,1,1,3,0.4931972789115646,0.8571428571428571,0.007006645202636719,ordered graphs since 0
ogbg-moltox21,no-split,7831,24,False,20,22,2.2,0.0,0.11578947368421053,1,20,22,4.41578947368421,10,5,1,1,4,0.4762396694214876,0.7727272727272727,0.007620811462402344,ordered graphs since 0
ogbg-moltox21,no-split,7831,25,False,22,24,2.1818181818181817,0.0,0.1038961038961039,1,22,24,4.307359307359308,9,5,1,1,5,0.5373263888888888,0.75,0.008814573287963867,ordered graphs since 0
ogbg-moltox21,no-split,7831,26,False,4,3,1.5,0.0,0.5,1,4,3,1.6666666666666667,3,2,1,1,2,0.16666666666666663,0.6666666666666666,0.0008440017700195312,ordered graphs since 0
