Dataset name,First split,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbg-moltoxcast,no-split,8576,0,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.6666666666666665,6,3,1,1,3,0.355,0.7,0.005829811096191406,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,1,False,15,14,1.8666666666666667,0.0,0.13333333333333333,1,15,14,3.657142857142857,8,4,1,1,4,0.5331632653061225,0.7857142857142857,0.00549006462097168,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,2,False,15,16,2.1333333333333333,0.0,0.1523809523809524,1,15,16,3.6,9,5,1,1,3,0.474609375,0.875,0.004763364791870117,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,3,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.6666666666666665,6,3,1,1,3,0.355,0.7,0.002561330795288086,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,4,False,10,10,2.0,0.0,0.2222222222222222,1,10,10,2.6666666666666665,6,3,1,1,3,0.355,0.7,0.0025429725646972656,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,5,False,7,7,2.0,0.0,0.3333333333333333,1,7,7,1.9523809523809523,4,2,1,1,3,0.22448979591836737,0.5714285714285714,0.0016012191772460938,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,6,False,11,11,2.0,0.0,0.2,1,11,11,2.9454545454545453,7,4,1,1,4,0.37603305785123975,0.6363636363636364,0.002899169921875,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,7,False,11,11,2.0,0.0,0.2,1,11,11,2.9454545454545453,7,4,1,1,4,0.37603305785123975,0.6363636363636364,0.002951383590698242,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,8,False,11,11,2.0,0.0,0.2,1,11,11,2.9454545454545453,7,4,1,1,4,0.37603305785123975,0.6363636363636364,0.002911806106567383,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,9,False,11,11,2.0,0.0,0.2,1,11,11,2.9454545454545453,7,4,1,1,4,0.37603305785123975,0.6363636363636364,0.002966165542602539,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,10,False,11,11,2.0,0.0,0.2,1,11,11,2.9454545454545453,7,4,1,1,4,0.37603305785123975,0.6363636363636364,0.0029098987579345703,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,11,False,66,72,2.1818181818181817,0.0,0.033566433566433566,1,66,72,8.608391608391608,19,15,1,1,6,0.75,0.9166666666666666,0.06000995635986328,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,12,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.0033292770385742188,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,13,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.003332376480102539,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,14,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.0033006668090820312,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,15,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.0033173561096191406,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,16,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.0033211708068847656,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,17,False,12,11,1.8333333333333333,0.0,0.16666666666666666,1,12,11,3.909090909090909,9,5,1,1,4,0.4421487603305785,0.7272727272727273,0.0033447742462158203,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,18,False,9,6,1.3333333333333333,0.0,0.16666666666666666,3,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0008184909820556641,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,19,False,31,33,2.129032258064516,0.0,0.07096774193548387,1,31,33,6.498924731182796,16,8,1,1,5,0.6322314049586777,0.8484848484848485,0.015729188919067383,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,20,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0007977485656738281,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,21,False,12,12,2.0,0.0,0.18181818181818182,1,12,12,3.121212121212121,7,4,1,1,4,0.4097222222222222,0.6666666666666666,0.003323078155517578,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,22,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0007901191711425781,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,23,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0007853507995605469,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,24,False,5,4,1.6,0.0,0.4,1,5,4,1.6,2,1,1,1,1,0.0,1.0,0.0010061264038085938,ordered graphs since 0
ogbg-moltoxcast,no-split,8576,25,False,4,3,1.5,0.0,0.5,1,4,3,1.5,2,1,1,1,1,0.0,1.0,0.0007927417755126953,ordered graphs since 0
