Dataset name,Feature studied,Directed,First split,Num nodes,Num edges,Homophily,Num CC,BCC num nodes,BCC num edges,BCC homophily,Execution time,Type split
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.12597036361694336,1 ordered iterations
CiteSeer,y,True,no-split,1000,786,0.6416554385479296,645,61,152,0.05313301575668703,0.06195831298828125,3 ordered iterations
CiteSeer,y,True,no-split,1000,806,0.6491661711496383,650,107,304,0.324015247776366,0.015542984008789062,3 ordered iterations
CiteSeer,y,True,no-split,1000,978,0.6620449492378988,559,116,298,0.23224144276775793,0.01566624641418457,3 ordered iterations
CiteSeer,y,True,no-split,327,112,0.7970197341925092,272,7,12,-0.09090909090909137,0.00436711311340332,3 ordered iterations
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.12611055374145508,5 random iterations
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.0794379711151123,5 random iterations
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.08069109916687012,5 random iterations
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.08021903038024902,5 random iterations
CiteSeer,y,True,no-split,3327,9104,0.6706593983410409,438,2120,7358,0.6620897112374552,0.08032584190368652,5 random iterations
CiteSeer,y,True,no-split,1000,868,0.665178327598449,638,88,272,0.07027244395295006,0.06537389755249023,10 random iterations
CiteSeer,y,True,no-split,1000,866,0.6403921595106109,621,102,282,0.3549081612056784,0.016702890396118164,10 random iterations
CiteSeer,y,True,no-split,1000,816,0.6920629400382554,630,78,188,0.15060240963855437,0.016082763671875,10 random iterations
CiteSeer,y,True,no-split,1000,890,0.6915544521389548,602,118,294,0.47226952639572856,0.016642093658447266,10 random iterations
CiteSeer,y,True,no-split,1000,890,0.6536274396284432,616,124,338,0.2377159309021114,0.016832351684570312,10 random iterations
CiteSeer,y,True,no-split,1000,852,0.658443696757105,631,121,320,0.11624919717405177,0.016508817672729492,10 random iterations
CiteSeer,y,True,no-split,1000,768,0.6491357486545846,644,54,126,0.24509803921568618,0.015197038650512695,10 random iterations
CiteSeer,y,True,no-split,1000,754,0.6718178997448803,656,34,74,0.6048817696414951,0.01542043685913086,10 random iterations
CiteSeer,y,True,no-split,1000,926,0.7149257188428146,594,108,282,0.46782065464957373,0.016576528549194336,10 random iterations
CiteSeer,y,True,no-split,1000,872,0.7038502500997431,611,73,202,-0.0032135553607933252,0.016058683395385742,10 random iterations
