Dataset name,Feature studied,Directed,First split,Num nodes,Num edges,Homophily,Num CC,BCC num nodes,BCC num edges,BCC homophily,Execution time,Type split
ogbn-products,y,False,no-split,1000,121,0.803305337306963,885,8,8,-0.4177215189873418,0.016552448272705078,10 ordered iterations
ogbn-products,y,False,no-split,1000,6,0.7894736842105264,994,2,1,nan,0.0058422088623046875,10 ordered iterations
ogbn-products,y,False,no-split,1000,5,0.7560975609756098,995,2,1,nan,0.005902528762817383,10 ordered iterations
ogbn-products,y,False,no-split,1000,2,1.0,998,2,1,nan,0.005675792694091797,10 ordered iterations
ogbn-products,y,False,no-split,1000,6,0.7551020408163265,994,2,1,nan,0.005646705627441406,10 ordered iterations
ogbn-products,y,False,no-split,1000,4,1.0,996,2,1,nan,0.005507707595825195,10 ordered iterations
ogbn-products,y,False,no-split,1000,6,1.0,994,3,2,nan,0.005654335021972656,10 ordered iterations
ogbn-products,y,False,no-split,1000,6,0.781818181818182,994,2,1,nan,0.005587339401245117,10 ordered iterations
ogbn-products,y,False,no-split,1000,12,0.8986784140969163,989,4,3,nan,0.005509376525878906,10 ordered iterations
ogbn-products,y,False,no-split,1000,4,1.0,996,2,1,nan,0.00568389892578125,10 ordered iterations
ogbn-products,y,False,no-split,1000,4,1.0,996,2,1,nan,0.005585193634033203,10 ordered iterations
ogbn-products,y,False,no-split,5000,3504,0.8120765405060765,2204,1635,2129,0.8118702139956168,0.09422874450683594,10 ordered iterations
ogbn-products,y,False,no-split,5000,141,0.7629416709602191,4859,4,3,-0.6363636363636364,0.027849674224853516,10 ordered iterations
ogbn-products,y,False,no-split,5000,158,0.8236720678184356,4843,7,6,nan,0.08772492408752441,10 ordered iterations
ogbn-products,y,False,no-split,5000,160,0.7898640033999149,4843,5,4,-0.23076923076923078,0.027741193771362305,10 ordered iterations
ogbn-products,y,False,no-split,5000,153,0.802488551736898,4851,6,5,0.5238095238095238,0.02748394012451172,10 ordered iterations
ogbn-products,y,False,no-split,5000,156,0.8409926877908265,4848,9,8,-0.10344827586206896,0.08828949928283691,10 ordered iterations
ogbn-products,y,False,no-split,5000,174,0.7574652870851875,4830,6,5,-0.11111111111111124,0.02739715576171875,10 ordered iterations
ogbn-products,y,False,no-split,5000,135,0.7651008732309543,4867,4,3,nan,0.08568382263183594,10 ordered iterations
