Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
PubMed,True,no-split,19717,88648,8.992037328193945,8.992037328193945,0,0.060175209437523615,0.00022803908825811382,0.0537076280274887,1,19717,88648,6.336870027999047,18,10,1,1,114,0.7519865892678712,0.8376500315855969,8,6882.257063865662,1 ordered iterations
PubMed,True,no-split,9858,22560,9.0626902008521,4.5769933049300064,44220,0.03118520492435021,0.00023216969183980957,0.05379939209726444,2939,6567,21840,7.732144602316357,23,12,1,1,92,0.8046906489420234,0.8549450549450549,8,707.0590188503265,2 ordered iterations
PubMed,True,no-split,9858,21864,8.921890850071009,4.435788192331102,44224,0.0327647154159744,0.00022500700985751758,0.05542252299149748,2993,6500,21114,7.345709896197048,22,12,1,1,96,0.8047886146938983,0.8506204414132803,6,676.009238243103,2 ordered iterations
PubMed,True,no-split,4929,5878,9.230675593426659,2.3850679651044837,33742,0.01876029334275258,0.00024199147373219192,0.041641675948933254,2592,1868,4912,9.337917441325674,29,15,1,1,53,0.8558447901303992,0.887214983713355,4,56.971543312072754,4 ordered iterations
PubMed,True,no-split,4929,5438,8.88496652465003,2.2065327652667883,32918,0.01704120942160794,0.00022387710686554266,0.06609513274336283,2789,1607,4354,9.801208287837845,24,12,1,1,47,0.8452092057757542,0.8842443729903537,6,43.936323165893555,4 ordered iterations
PubMed,True,no-split,4929,5626,9.091905051734631,2.282815987015622,33562,0.01970581467845513,0.0002316168817994746,0.0626410835214447,2709,1759,4682,10.007245041105033,28,15,1,1,61,0.8437871160256203,0.877402819307988,4,53.762837171554565,4 ordered iterations
PubMed,True,no-split,4929,5350,8.751876648407384,2.1708257252992493,32438,0.01534774926375281,0.0002202542334922128,0.05184369840396257,2727,1640,4206,10.251073676691618,35,18,1,1,52,0.8711719711147877,0.9025202092249168,4,44.53269100189209,4 ordered iterations
PubMed,True,no-split,6572,10120,9.110164333536215,3.0797321972002436,39632,0.022907538354612848,0.000234342733008693,0.046365068647310374,2902,3177,9096,8.502778749021818,27,14,1,1,65,0.8441337934309995,0.8817062445030783,5,156.5170979499817,3 ordered iterations
PubMed,True,no-split,6572,10034,9.085209981740718,3.0535605599513085,39640,0.026414203473299817,0.00023235128290604996,0.061781854137543044,3039,3133,9216,8.287252577208221,24,13,1,1,66,0.8189698443000704,0.8650173611111112,5,162.3064363002777,3 ordered iterations
PubMed,True,no-split,6572,9442,8.774497869750457,2.8734023128423614,38782,0.020288375365144735,0.00021864269615297228,0.057217048710601716,3036,2969,8278,9.223925759351575,27,14,1,1,68,0.8474607708302241,0.8845131674317468,5,143.92071962356567,3 ordered iterations
PubMed,True,no-split,4929,5500,8.975045648204503,2.231689997971191,33238,0.016918582758509732,0.00022642958583311596,0.06270143568707881,2738,1717,4520,10.20454172114044,28,15,1,1,54,0.8577521732320466,0.8964601769911504,4,48.492422103881836,4 random2 iterations
PubMed,True,no-split,4929,5834,9.263136538851693,2.367214445120714,33990,0.017046573268369572,0.000240180037045527,0.0531201248049922,2641,1786,4812,9.53533520911164,30,15,1,1,52,0.8500553479145032,0.8915211970074813,4,55.17410182952881,4 random2 iterations
PubMed,True,no-split,4929,5278,8.831000202880908,2.1416108744167173,32972,0.013937575809689245,0.0002172900643685793,0.04965986394557823,2714,1649,4114,10.119630461533026,25,13,1,1,53,0.8791199714316034,0.9071463296062227,4,44.21503472328186,4 random2 iterations
PubMed,True,no-split,4929,5478,8.900385473726923,2.222763237979306,32914,0.016486819570649215,0.0002255238674897835,0.04735284445905952,2752,1678,4462,8.643865720257882,27,14,1,1,55,0.8359133484591535,0.8776333482743165,4,45.883254051208496,4 random2 iterations
PubMed,True,no-split,6572,10216,9.164637857577603,3.108947048082775,39798,0.02343606334779447,0.00023656574707675966,0.05714511539677521,2852,3266,9280,9.061851045014343,26,14,1,1,74,0.8493194950208085,0.8877155172413793,4,201.83443069458008,3 random2 iterations
PubMed,True,no-split,6572,9670,8.930614729153987,2.942787583688375,39352,0.02084024537558997,0.00022392235456463057,0.046029281277728484,3010,3147,8816,8.356851629752228,30,16,1,1,70,0.8315460454263985,0.8691016333938294,5,182.11910200119019,3 random2 iterations
PubMed,True,no-split,6572,9620,8.878880097382837,2.9275715155203894,39112,0.02244585380257325,0.0002227645347375125,0.06039615992222627,3010,3148,8774,8.995180460687635,27,14,1,1,68,0.8540632229348699,0.8921814451789377,6,171.52879166603088,3 random2 iterations
PubMed,True,no-split,9858,21952,8.921282207344289,4.453641712314871,44042,0.032384963243918145,0.00022591263631504876,0.055916528337680814,3089,6444,21280,7.443124171638162,22,11,1,1,98,0.8126008571711232,0.8631578947368421,6,672.6141891479492,2 random2 iterations
PubMed,True,no-split,9858,22640,9.060052749036316,4.593223777642524,44034,0.03301152011990374,0.0002329929886193834,0.04985501515750626,2716,6822,21994,7.621418343019606,24,12,1,1,93,0.8144050735967914,0.8603255433299991,5,784.7285022735596,2 random2 iterations
PubMed,True,no-split,1971,914,9.301877219685439,0.9274479959411466,16506,0.004137976854871831,0.0002353928923708494,0.02390438247011952,1535,115,254,7.498398169336385,19,10,1,1,15,0.7630665261330523,0.8582677165354331,3,0.4073014259338379,10 ordered iterations
PubMed,True,no-split,1971,984,9.21664129883308,0.9984779299847792,16198,0.005329661037423595,0.0002534207944123805,0.054758800521512385,1506,120,268,6.094677871148459,15,8,1,1,14,0.7632267765649364,0.8432835820895522,3,0.5006985664367676,10 ordered iterations
