Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-proteins,False,no-split,500,13797,814.006,55.188,379409,0.5002748046856816,0.11059719438877756,1,500,13797,2.0751743486973946,3,2,1,1,4,0.30120370960051224,0.7631369138218453,139.14535975456238,20 ordered iterations
ogbn-proteins,False,no-split,500,9839,747.39,39.356,354017,0.39078908849533056,0.07886973947895791,3,498,9839,2.3169377712055463,5,3,1,1,3,0.30150896451881287,0.758410407561744,157.02678322792053,20 ordered iterations
ogbn-proteins,False,no-split,500,3898,408.338,15.592,196373,0.35345730563914834,0.031246492985971944,19,482,3898,3.226093632732637,9,5,1,1,7,0.4929220652550768,0.8637762955361724,76.31788539886475,20 ordered iterations
ogbn-proteins,False,no-split,500,1713,156.024,6.852,74586,0.34262777254350674,0.013731462925851704,110,349,1657,5.798323617560847,15,8,1,1,11,0.710792056814254,0.9674109837054918,15.372071743011475,20 ordered iterations
ogbn-proteins,False,no-split,500,19252,581.608,77.008,252300,0.36668314114519285,0.15432464929859718,1,500,19252,1.884633266533066,3,2,6,6,3,0.26743011856609866,0.6413879077498442,138.13876175880432,20 ordered iterations
ogbn-proteins,False,no-split,500,19111,1101.178,76.444,512367,0.48510142783671883,0.15319438877755512,5,496,19111,1.9511159986966438,4,2,2,2,3,0.3052221244796376,0.6829051331693788,212.49240636825562,20 ordered iterations
ogbn-proteins,False,no-split,500,31436,835.046,125.744,354651,0.7168156586402223,0.2519919839679359,12,488,31435,2.2904702595347897,7,4,1,1,2,0.2607795924791372,0.994782885318912,200.89849162101746,20 ordered iterations
ogbn-proteins,False,no-split,500,1733,162.666,6.932,77867,0.3156361902373837,0.013891783567134268,178,271,1646,4.690310236435698,12,7,1,1,9,0.5559798118787177,0.9465370595382746,12.25431513786316,20 ordered iterations
ogbn-proteins,False,no-split,500,26133,717.622,104.532,306545,0.527695225830915,0.20948296593186372,2,499,26133,1.8643391200070825,4,2,1,1,4,0.179783342771951,0.6244594956568323,171.25829124450684,20 ordered iterations
ogbn-proteins,False,no-split,500,1987,327.238,7.948,159645,0.2411375467509049,0.015927855711422845,34,467,1987,3.5092407936697576,8,5,1,1,10,0.5368891250602494,0.7166582788122798,60.56859302520752,20 ordered iterations
ogbn-proteins,False,no-split,500,12799,1126.08,51.196,537442,0.34676489562153184,0.10259719438877755,1,500,12799,2.0115751503006014,4,3,1,1,7,0.22878749530696024,0.7035705914524573,227.07596111297607,20 ordered iterations
ogbn-proteins,False,no-split,500,12021,721.804,48.084,336860,0.4028416620379568,0.09636072144288577,1,500,12021,2.2274148296593186,5,3,1,1,4,0.326790921948205,0.8703102903252641,156.57657957077026,20 ordered iterations
ogbn-proteins,False,no-split,500,3216,416.696,12.864,201916,0.26156828484292804,0.025779559118236473,10,491,3216,3.0848580572758637,7,4,1,1,7,0.477224418950026,0.7524875621890548,80.17392420768738,20 ordered iterations
ogbn-proteins,False,no-split,500,10869,289.982,43.476,123253,0.2615431996111343,0.08712625250501002,1,500,10869,2.066372745490982,5,3,1,1,4,0.2551330208962935,0.6339129634741006,68.73590803146362,20 ordered iterations
ogbn-proteins,False,no-split,500,11242,1116.478,44.968,535755,0.2970217090133703,0.09011623246492986,4,497,11242,2.095670798987473,5,3,1,1,4,0.27770427256088903,0.7525351360967799,220.3434612751007,20 ordered iterations
