Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
ogbn-products*,False,no-split,2449029,61859140,50.517278480573324,50.517278480573324,0,0.4107879837939035,2.062748097636014e-05,0.1300615866399033,52658,2385902,61806431,,,,,,0,0,0,0,158952.4337604046,1 ordered iterations
ogbn-products,False,no-split,1224514,23622185,61.988272898472374,38.582139526375364,28661138,0,0,0,60873,1134055,23445389,,,,,,,,,0,228.864741563797,2 ordered iterations
ogbn-products,False,no-split,1224514,9575815,39.046322051034124,15.640188678937113,28661138,0,0,0,107861,1100627,9545445,,,,,,,,,0,167.61989545822144,2 ordered iterations
ogbn-products,False,no-split,1224514,15496366,50.56373957341443,25.310230834437174,30923275,0,0,0,74445,1115214,15286191,,,,,,,,,0,185.48276734352112,2 random2 iterations
ogbn-products,False,no-split,1224514,15439476,50.47082924327529,25.21731233779279,30923285,0,0,0,75307,1139778,15417901,,,,,,,,,0,185.5622489452362,2 random2 iterations
ogbn-products,False,no-split,816343,6898876,50.61806373056424,16.90190520406251,27523950,0,0,0,77733,713953,6799120,,,,,,,,,0,116.163822889328,3 random2 iterations
ogbn-products,False,no-split,816343,6843149,50.4107023640798,16.765376808522888,27466126,0,0,0,77093,714570,6748912,,,,,,,,,0,115.45267724990845,3 random2 iterations
ogbn-products,False,no-split,816343,6870439,50.523069347075925,16.832235959639515,27503276,0,0,0,77348,730391,6855771,,,,,,,,,0,130.26904344558716,3 random2 iterations
ogbn-products,False,no-split,816343,15113529,73.417270681564,37.02739902222473,29706617,0,0,0,53033,746192,15041884,,,,,,,,,0,167.988445520401,3 ordered iterations
ogbn-products,False,no-split,816343,4254275,39.05664408220564,10.422763470746977,23375068,0,0,0,108846,673418,4130935,,,,,,,,,0,88.06438207626343,3 ordered iterations
