Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Transitivity,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Max clique,Execution time,Type split
ogbn-proteins,False,no-split,66267,9882381,596.8521436008873,298.2594956765811,19786839,0,0,0,478,65772,9882360,,,,,,,,,0,62.43212842941284,2 random2 iterations
ogbn-proteins,False,no-split,66267,9892032,597.1434198017113,298.55077187740505,19786839,0,0,0,505,65737,9892003,,,,,,,,,0,68.07646346092224,2 random2 iterations
ogbn-proteins,False,no-split,66267,13970949,504.5240315692577,421.656299515596,5491396,0,0,0,1,66267,13970949,,,,,,,,,0,55.744438886642456,2 ordered iterations
ogbn-proteins,False,no-split,66267,20098907,689.4715318333409,606.6037997796792,5491396,0,0,0,1,66267,20098907,,,,,,,,,0,81.15587663650513,2 ordered iterations
ogbn-proteins,False,no-split,132534,39561252,596.9977817012993,596.9977817012993,0,0.27975384608795445,0.004504521754591681,0.2824007147554434,1,132534,39561252,,,,,,,,,,41554.73212599754,1 ordered iterations
ogbn-proteins,False,no-split,44178,4420474,598.6819457648603,200.12105572909593,17607623,0,0,0,524,43634,4420452,,,,,,,,,0,39.14035439491272,3 random2 iterations
ogbn-proteins,False,no-split,44178,4397170,596.9404907419982,199.06605097559873,17577297,0,0,0,570,43599,4397159,,,,,,,,,0,38.65840983390808,3 random2 iterations
ogbn-proteins,False,no-split,44178,4372033,595.3709085970393,197.9280637421341,17558230,0,0,0,528,43631,4372011,,,,,,,,,0,38.33435869216919,3 random2 iterations
ogbn-proteins,False,no-split,44178,10273577,526.2821766490108,465.0992349133053,2702940,0,0,0,1,44178,10273577,,,,,,,,,0,40.65045928955078,3 ordered iterations
ogbn-proteins,False,no-split,44178,9232087,556.3359590746526,417.94952238670834,6113636,0,0,0,1102,42965,9231964,,,,,,,,,0,48.5416944026947,3 ordered iterations
ogbn-proteins,False,no-split,44178,12583219,708.3752093802345,569.6599664991625,6128162,0,0,0,11,44168,12583219,,,,,,,,,0,55.48095154762268,3 ordered iterations
ogbn-proteins,False,no-split,33133,2488192,598.8289318806025,150.19418706425617,14864615,0,0,0,521,32597,2488173,,,,,,,,,0,28.23706340789795,4 random2 iterations
ogbn-proteins,False,no-split,33133,2480517,597.9407539311261,149.73090272537954,14850537,0,0,0,566,32553,2480502,,,,,,,,,0,27.82648992538452,4 random2 iterations
ogbn-proteins,False,no-split,33133,2493721,599.457127335285,150.5279328765883,14874371,0,0,0,528,32595,2493709,,,,,,,,,0,28.060455560684204,4 random2 iterations
ogbn-proteins,False,no-split,33133,2429605,591.7797060332599,146.65771285425407,14748227,0,0,0,557,32560,2429582,,,,,,,,,0,27.43767786026001,4 random2 iterations
ogbn-proteins,False,no-split,33133,6982578,500.19862372860894,421.4878218090725,2607925,0,0,0,1,33133,6982578,,,,,,,,,0,28.635303735733032,4 ordered iterations
ogbn-proteins,False,no-split,33133,5702302,508.83726194428516,344.2068028853409,5454701,0,0,0,36,33093,5702295,,,,,,,,,0,27.208024978637695,4 ordered iterations
ogbn-proteins,False,no-split,33133,8152076,720.8392237346452,492.08197265566054,7579414,0,0,0,4,33130,8152076,,,,,,,,,0,40.97206234931946,4 ordered iterations
ogbn-proteins,False,no-split,33133,7931242,658.1094679020915,478.75181842875685,5942657,0,0,0,56,33074,7931237,,,,,,,,,0,37.00951409339905,4 ordered iterations
ogbn-proteins,False,no-split,13253,3806334,767.0062627329661,574.4109258281144,2552466,0,0,0,1,13253,3806334,,,,,,,,,0,16.80176877975464,10 ordered iterations
