Dataset name,Directed,First split,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,Execution time
ogbn-arxiv,True,no-split,10000,4370,0.874,0.019133029729367174,4.3704370437043704e-05,9974,3,4,1.3333333333333333,2,1,2,1,0.24053430557250977
ogbn-arxiv,True,no-split,10000,3665,0.733,0.016712244071597847,3.665366536653665e-05,9969,3,4,1.5,3,1,1,1,0.23219585418701172
ogbn-arxiv,True,no-split,10000,4560,0.912,0.023129403644032293,4.5604560456045606e-05,9967,4,7,1.0,1,1,2,2,0.24713850021362305
ogbn-arxiv,True,no-split,10000,3697,0.7394,0.013685481455467474,3.6973697369736976e-05,9965,4,7,1.1666666666666667,2,1,2,1,0.17382121086120605
ogbn-arxiv,True,no-split,10000,4443,0.8886,0.01643502874571057,4.443444344434443e-05,9972,3,6,1.0,1,1,1,1,0.22757554054260254
ogbn-arxiv,True,no-split,10000,4079,0.8158,0.013691293767663273,4.07940794079408e-05,9966,3,6,1.5,2,1,1,1,0.28434133529663086
ogbn-arxiv,True,no-split,10000,5001,1.0002,0.0216320129649787,5.0015001500150015e-05,9964,3,5,1.4166666666666667,2,1,1,1,0.19683194160461426
ogbn-arxiv,True,no-split,10000,3989,0.7978,0.013805312664841338,3.989398939893989e-05,9983,3,5,1.3333333333333333,2,1,2,1,0.22490286827087402
ogbn-arxiv,True,no-split,10000,3821,0.7642,0.012812429410214696,3.821382138213822e-05,9974,2,2,1.5833333333333333,3,2,1,1,0.22392916679382324
ogbn-arxiv,True,no-split,10000,4048,0.8096,0.014088697004534712,4.048404840484049e-05,9981,2,2,1.3333333333333333,2,1,1,1,0.23746132850646973
ogbn-arxiv,True,no-split,10000,4077,0.8154,0.015289730271684456,4.077407740774077e-05,9968,4,6,1.5,2,2,1,1,0.23743009567260742
ogbn-arxiv,True,no-split,10000,4240,0.848,0.015797624422683926,4.2404240424042406e-05,9962,4,6,1.4166666666666667,2,1,1,1,0.17731547355651855
ogbn-arxiv,True,no-split,10000,4019,0.8038,0.014854674054892191,4.0194019401940193e-05,9981,4,7,1.3333333333333333,2,1,1,1,0.22600245475769043
ogbn-arxiv,True,no-split,10000,3514,0.7028,0.012342915338525074,3.514351435143514e-05,9974,4,7,1.3333333333333333,2,1,1,1,0.22298383712768555
ogbn-arxiv,True,no-split,10000,3633,0.7266,0.014513837568452058,3.633363336333633e-05,9966,3,4,1.1666666666666667,2,1,2,1,0.2340853214263916
ogbn-arxiv,True,no-split,10000,3754,0.7508,0.012922257669587944,3.754375437543754e-05,9968,3,4,1.0,1,1,1,1,0.17474603652954102
ogbn-arxiv,True,no-split,9343,3661,0.7836883228085197,0.014765702543538777,4.194435467825518e-05,9313,4,6,1.3333333333333333,2,1,1,1,0.2726597785949707
